item_db[501,"name"] = "Poção Vermelha"
item_db[572,"name"] = "Biscoito da Sorte"
item_db[573,"name"] = "Chocolate Quente"
item_db[574,"name"] = "Ovo"
item_db[575,"name"] = "Chapéu de Bolo do"
item_db[576,"name"] = "Fruta Espinhosa"
item_db[577,"name"] = "Sacola de Grãos"
item_db[578,"name"] = "Morango"
item_db[579,"name"] = "Peixe Fresco"
item_db[580,"name"] = "Pão"
item_db[581,"name"] = "Cogumelo Comestível"
item_db[582,"name"] = "Laranja"
item_db[583,"name"] = "KETUPAT SAYUR"
item_db[584,"name"] = "Sopa com Bolinhos de Peixe"
item_db[587,"name"] = "Fruta Espinhosa Escarlate"
item_db[591,"name"] = "Panqueca de Caviar"
item_db[592,"name"] = "Panqueca de Geléia"
item_db[593,"name"] = "Panqueca com Mel"
item_db[594,"name"] = "Panqueca Azeda"
item_db[595,"name"] = "Panqueca de Cogumelos"
item_db[596,"name"] = "Chocolate dos Apaixonados"
item_db[597,"name"] = "Torta de Chocolate Cremosa"
item_db[601,"name"] = "Asa de Mosca"
item_db[602,"name"] = "Asa de Borboleta"
item_db[603,"name"] = "Velha Caixa Azul"
item_db[604,"name"] = "Galho Seco"
item_db[605,"name"] = "Analgésico"
item_db[606,"name"] = "Aloe Vera"
item_db[607,"name"] = "Fruto de Yggdrasil"
item_db[608,"name"] = "Semente de Yggdrasil"
item_db[609,"name"] = "Amuleto"
item_db[610,"name"] = "Folha de Yggdrasil"
item_db[611,"name"] = "Lupa"
item_db[612,"name"] = "Mini-Fornalha"
item_db[613,"name"] = "Martelo de Ferro"
item_db[614,"name"] = "Martelo de Ouro"
item_db[615,"name"] = "Martelo de Oridecon"
item_db[616,"name"] = "Velho Álbum de Cartas"
item_db[617,"name"] = "Velha Caixa Roxa"
item_db[618,"name"] = "Pergaminho Desgastado"
item_db[619,"name"] = "Maçã Verde"
item_db[620,"name"] = "Suco de Laranja"
item_db[621,"name"] = "Erva Amarga"
item_db[622,"name"] = "Cenoura Arco-Íris"
item_db[623,"name"] = "Minhoca Boa-Pinta"
item_db[624,"name"] = "Peixe Podre"
item_db[625,"name"] = "Ferro Enferrujado"
item_db[626,"name"] = "Suco de Monstro"
item_db[627,"name"] = "Leite Doce"
item_db[628,"name"] = "Osso Seco"
item_db[629,"name"] = "Flor Cantante"
item_db[630,"name"] = "Musgo Encharcado"
item_db[631,"name"] = "Erva Letal"
item_db[632,"name"] = "Minhoca Gorducha"
item_db[633,"name"] = "Batata Assada"
item_db[634,"name"] = "Banana Tropical"
item_db[635,"name"] = "Horror da Tribo"
item_db[636,"name"] = "Sem Destinatário"
item_db[637,"name"] = "Vassoura Velha"
item_db[638,"name"] = "Faca de Prata da Castidade"
item_db[639,"name"] = "Bracelete da Obediência"
item_db[640,"name"] = "Pedra Brilhante"
item_db[641,"name"] = "Contratos das Sombras"
item_db[642,"name"] = "Livro do Diabo"
item_db[643,"name"] = "Incubadora"
item_db[644,"name"] = "Caixa de Presente"
item_db[645,"name"] = "Poção da Concentração"
item_db[656,"name"] = "Poção do Despertar"
item_db[657,"name"] = "Poção da Fúria Selvagem"
item_db[658,"name"] = "União da Tribo"
item_db[659,"name"] = "Coração Apaixonado"
item_db[660,"name"] = "Vela do Marquês de Sade"
item_db[661,"name"] = "Avental Elegante"
item_db[662,"name"] = "Emblema Oficial"
item_db[663,"name"] = "Ovos de Chocolate Branco"
item_db[664,"name"] = "Caixa de Presente 1"
item_db[665,"name"] = "Caixa de Presente 2"
item_db[666,"name"] = "Caixa de Presente 3"
item_db[667,"name"] = "Caixa de Presente 4"
item_db[668,"name"] = "Envelope Vermelho"
item_db[669,"name"] = "Sopa de Arroz"
item_db[670,"name"] = "Sacola de Moedas de Ouro"
item_db[671,"name"] = "Moeda de Ouro"
item_db[672,"name"] = "Sacola de Moedas de Bronze"
item_db[673,"name"] = "Moeda de Bronze"
item_db[674,"name"] = "Moeda de Mythril"
item_db[675,"name"] = "Moeda de Prata"
item_db[676,"name"] = "Sacola de Moedas de Prata"
item_db[677,"name"] = "Moeda de Platina"
item_db[678,"name"] = "Garrafa de Veneno"
item_db[679,"name"] = "Pílula Dourada"
item_db[681,"name"] = "Álbum de Fotos de Casamento"
item_db[682,"name"] = "Bebida de Realgar"
item_db[683,"name"] = "Erva de Exorcismo"
item_db[684,"name"] = "Jaca"
item_db[685,"name"] = "Ramadan"
item_db[686,"name"] = "Coluna de Pedra Nível 3"
item_db[687,"name"] = "Coluna de Pedra Nível 5"
item_db[688,"name"] = "Lanças de Gelo Nível 3"
item_db[689,"name"] = "Lanças de Gelo Nível 5"
item_db[690,"name"] = "Lanças de Fogo Nível 3"
item_db[691,"name"] = "Lanças de Fogo Nível 5"
item_db[692,"name"] = "Relâmpago Nível 3"
item_db[693,"name"] = "Relâmpago Nível 5"
item_db[694,"name"] = "Espíritos Anciões Nível 3"
item_db[695,"name"] = "Espíritos Anciões Nível 5"
item_db[696,"name"] = "Bolas de Fogo Nível 1"
item_db[697,"name"] = "Bolas de Fogo Nível 5"
item_db[698,"name"] = "Barreira de Fogo Nível 1"
item_db[699,"name"] = "Barreira de Fogo Nível 5"
item_db[700,"name"] = "Rajada Congelante Nível 1"
item_db[701,"name"] = "Armadilha para Insetos"
item_db[702,"name"] = "Sangue de Animal"
item_db[703,"name"] = "Hinalle"
item_db[704,"name"] = "Aloés"
item_db[705,"name"] = "Trevo"
item_db[706,"name"] = "Trevo de Quatro Folhas"
item_db[707,"name"] = "Planta da Melodia"
item_db[708,"name"] = "Menta"
item_db[709,"name"] = "Izidor"
item_db[710,"name"] = "Flor das Ilusões"
item_db[711,"name"] = "Broto"
item_db[712,"name"] = "Flor"
item_db[713,"name"] = "Garrafa Vazia"
item_db[714,"name"] = "Emperium"
item_db[715,"name"] = "Gema Amarela"
item_db[716,"name"] = "Gema Vermelha"
item_db[717,"name"] = "Gema Azul"
item_db[718,"name"] = "Granada"
item_db[719,"name"] = "Ametista"
item_db[720,"name"] = "Aquamarina"
item_db[721,"name"] = "Esmeralda"
item_db[722,"name"] = "Pérola"
item_db[723,"name"] = "Rubi"
item_db[724,"name"] = "Rubi Amaldiçoado"
item_db[725,"name"] = "Peridoto"
item_db[726,"name"] = "Safira"
item_db[727,"name"] = "Opala"
item_db[728,"name"] = "Topázio"
item_db[729,"name"] = "Zircônio"
item_db[730,"name"] = "Diamante de 1 quilate"
item_db[731,"name"] = "Diamante de 2 quilates"
item_db[732,"name"] = "Diamante de 3 quilates"
item_db[733,"name"] = "Diamante Rachado"
item_db[734,"name"] = "Moldura Vermelha"
item_db[735,"name"] = "Chung Jah"
item_db[736,"name"] = "Prato de Porcelana"
item_db[737,"name"] = "Concha Preta"
item_db[738,"name"] = "Estojo de Lápis"
item_db[739,"name"] = "Batom"
item_db[740,"name"] = "Boneco de Pelúcia"
item_db[741,"name"] = "Boneco de Poring"
item_db[742,"name"] = "Boneco de Chonchon"
item_db[743,"name"] = "Boneco de Esporo"
item_db[744,"name"] = "Buquê"
item_db[745,"name"] = "Buquê de Casamento"
item_db[746,"name"] = "Bolinha de Gude"
item_db[747,"name"] = "Espelho de Cristal"
item_db[748,"name"] = "Rosa Eterna"
item_db[749,"name"] = "Rosa de Gelo"
item_db[750,"name"] = "Boneco de Bafomé"
item_db[751,"name"] = "Boneco de Osíris"
item_db[752,"name"] = "Boneco de Rocker"
item_db[753,"name"] = "Boneco de Yoyo"
item_db[754,"name"] = "Boneco de Fumacento"
item_db[756,"name"] = "Minério de Oridecon"
item_db[757,"name"] = "Minério de Elunium"
item_db[764,"name"] = "(null)"
item_db[901,"name"] = "Trança"
item_db[902,"name"] = "Raiz de Árvore"
item_db[903,"name"] = "Língua de Réptil"
item_db[904,"name"] = "Cauda de Escorpião"
item_db[905,"name"] = "Caule"
item_db[906,"name"] = "Escama Afiada"
item_db[907,"name"] = "Resina"
item_db[908,"name"] = "Ova de Sapo"
item_db[909,"name"] = "Jellopy"
item_db[910,"name"] = "Garleta"
item_db[911,"name"] = "Scell"
item_db[912,"name"] = "Zargônio"
item_db[913,"name"] = "Dente de Morcego"
item_db[914,"name"] = "Felpa"
item_db[915,"name"] = "Crisálida"
item_db[916,"name"] = "Plumas de Ave"
item_db[917,"name"] = "Garra de Ave"
item_db[918,"name"] = "Pata Pegajosa"
item_db[919,"name"] = "Couro de Animal"
item_db[920,"name"] = "Garra de Lobo"
item_db[921,"name"] = "Esporo de Cogumelo"
item_db[922,"name"] = "Presa de Orc"
item_db[923,"name"] = "Chifre Diabólico"
item_db[924,"name"] = "Pó de Borboleta"
item_db[925,"name"] = "Bico de Ave"
item_db[926,"name"] = "Escamas de Cobra"
item_db[928,"name"] = "Antenas de Inseto"
item_db[929,"name"] = "Coração Imortal"
item_db[930,"name"] = "Bandagem Estragada"
item_db[931,"name"] = "Amuleto dos Orcs"
item_db[932,"name"] = "Osso"
item_db[934,"name"] = "Espólio"
item_db[935,"name"] = "Casca"
item_db[936,"name"] = "Casca Escamada"
item_db[937,"name"] = "Canino Venenoso"
item_db[938,"name"] = "Muco Pegajoso"
item_db[939,"name"] = "Ferrão de Abelha"
item_db[940,"name"] = "Perna de Gafanhoto"
item_db[941,"name"] = "Argola"
item_db[942,"name"] = "Cauda de Yoyo"
item_db[943,"name"] = "Casca Rija"
item_db[944,"name"] = "Ferradura"
item_db[945,"name"] = "Folha de Fumacento"
item_db[946,"name"] = "Casco de Caramujo"
item_db[947,"name"] = "Chifre"
item_db[948,"name"] = "Pata de Urso"
item_db[949,"name"] = "Pluma"
item_db[950,"name"] = "Coração de Sereia"
item_db[951,"name"] = "Nadadeira"
item_db[952,"name"] = "Espinho de Cacto"
item_db[953,"name"] = "Coração de Pedra"
item_db[954,"name"] = "Escama Brilhante"
item_db[955,"name"] = "Pele de Verme"
item_db[956,"name"] = "Guelra"
item_db[957,"name"] = "Unha Apodrecida"
item_db[958,"name"] = "Mandíbula Horrenda"
item_db[959,"name"] = "Escama Fétida"
item_db[960,"name"] = "Garra de Crustáceo"
item_db[961,"name"] = "Concha"
item_db[962,"name"] = "Tentáculo"
item_db[963,"name"] = "Escama Aquática"
item_db[964,"name"] = "Casco de Caranguejo"
item_db[965,"name"] = "Casco de Ostra"
item_db[966,"name"] = "Carne de Ostra"
item_db[967,"name"] = "Casco de Tartaruga"
item_db[968,"name"] = "Insígnia do Herói"
item_db[969,"name"] = "Ouro"
item_db[970,"name"] = "Álcool"
item_db[971,"name"] = "Detrimindexta"
item_db[972,"name"] = "Karvodailnirol"
item_db[973,"name"] = "Antígeno"
item_db[974,"name"] = "Mistura"
item_db[975,"name"] = "Tintura Vermelha"
item_db[976,"name"] = "Tintura Amarela"
item_db[978,"name"] = "Tintura Azul"
item_db[979,"name"] = "Tintura Verde"
item_db[980,"name"] = "Tintura Laranja"
item_db[981,"name"] = "Tintura Violeta"
item_db[982,"name"] = "Tintura Branca"
item_db[983,"name"] = "Tintura Preta"
item_db[984,"name"] = "Oridecon"
item_db[985,"name"] = "Elunium"
item_db[986,"name"] = "Bigorna"
item_db[987,"name"] = "Bigorna de Oridecon"
item_db[988,"name"] = "Bigorna de Ouro"
item_db[989,"name"] = "Bigorna de Emperium"
item_db[990,"name"] = "Sangue Escarlate"
item_db[991,"name"] = "Cristal Azul"
item_db[992,"name"] = "Frescor do Vento"
item_db[993,"name"] = "Vida Verdejante"
item_db[994,"name"] = "Coração Flamejante"
item_db[995,"name"] = "Gelo Místico"
item_db[996,"name"] = "Vento Bruto"
item_db[997,"name"] = "Natureza Grandiosa"
item_db[998,"name"] = "Ferro"
item_db[999,"name"] = "Aço"
item_db[1000,"name"] = "Fragmento Estelar"
item_db[1001,"name"] = "Poeira Estelar"
item_db[1002,"name"] = "Minério de Ferro"
item_db[1003,"name"] = "Carvão"
item_db[1004,"name"] = "Insígnia da Cavalaria"
item_db[1005,"name"] = "Martelo de Ferreiro"
item_db[1006,"name"] = "Grimório Antigo"
item_db[1007,"name"] = "Colar da Sabedoria"
item_db[1008,"name"] = "Colar do Oblívio"
item_db[1009,"name"] = "Mão Divina"
item_db[1010,"name"] = "Fracon"
item_db[1011,"name"] = "Emveretarcon"
item_db[1012,"name"] = "Brasão"
item_db[1013,"name"] = "Casco Arco-Íris"
item_db[1014,"name"] = "Mandíbula de Formiga"
item_db[1015,"name"] = "Língua"
item_db[1016,"name"] = "Cauda de Rato"
item_db[1017,"name"] = "Bigodes de Toupeira"
item_db[1018,"name"] = "Garras de Toupeira"
item_db[1019,"name"] = "Tronco"
item_db[1020,"name"] = "Cabelos Morenos"
item_db[1021,"name"] = "Chifre de Dokebi"
item_db[1022,"name"] = "Nove-Caudas"
item_db[1023,"name"] = "Cauda de Peixe"
item_db[1024,"name"] = "Tinta de Polvo"
item_db[1025,"name"] = "Teia de Aranha"
item_db[1026,"name"] = "Avelã"
item_db[1027,"name"] = "Espinho de Porco-Espinho"
item_db[1028,"name"] = "Crina"
item_db[1029,"name"] = "Pele de Tigre"
item_db[1030,"name"] = "Pata de Tigre"
item_db[1031,"name"] = "Foice de Louva-a-Deus"
item_db[1032,"name"] = "Flor de Planta Carnívora"
item_db[1033,"name"] = "Raiz de Planta Carnívora"
item_db[1034,"name"] = "Cabelo Azul"
item_db[1035,"name"] = "Canino de Dragão"
item_db[1036,"name"] = "Escama de Dragão"
item_db[1037,"name"] = "Cauda de Dragão"
item_db[1038,"name"] = "Pequeno Chifre Maligno"
item_db[1039,"name"] = "Pequena Asa Maligna"
item_db[1040,"name"] = "Bigode de Anão Ancião"
item_db[1041,"name"] = "Lampião"
item_db[1042,"name"] = "Pata de Inseto"
item_db[1043,"name"] = "Garra de Orc"
item_db[1044,"name"] = "Presa de Zenorc"
item_db[1045,"name"] = "Máscara Ritualística"
item_db[1046,"name"] = "Garra de Escorpião"
item_db[1047,"name"] = "Cabeça de Medusa"
item_db[1048,"name"] = "Cabelo Horrendo"
item_db[1049,"name"] = "Saia Virginal"
item_db[1050,"name"] = "Tendões"
item_db[1051,"name"] = "Neurônio"
item_db[1052,"name"] = "Célula Única"
item_db[1053,"name"] = "Dente Fossilizado"
item_db[1054,"name"] = "Lábios Fossilizados"
item_db[1055,"name"] = "Pele de Minhoca"
item_db[1056,"name"] = "Torrão de Areia"
item_db[1057,"name"] = "Pó de Traça"
item_db[1058,"name"] = "Asas de Traça"
item_db[1059,"name"] = "Tecido"
item_db[1060,"name"] = "Cabelos Dourados"
item_db[1061,"name"] = "Areia Estelar de Bruxa"
item_db[1062,"name"] = "Zé-Lanterna"
item_db[1063,"name"] = "Presa"
item_db[1064,"name"] = "Rédeas"
item_db[1065,"name"] = "Armadilha"
item_db[1066,"name"] = "Tronco de Alta Qualidade"
item_db[1067,"name"] = "Tronco Sólido"
item_db[1068,"name"] = "Tronco Estéril"
item_db[1069,"name"] = "Cogumelo Venenoso"
item_db[1070,"name"] = "Cogumelo Borrachento"
item_db[1071,"name"] = "Tubo de Ensaio com Líquido Desconhecido"
item_db[1072,"name"] = "Mensagem"
item_db[1073,"name"] = "Recibo de Entrega"
item_db[1074,"name"] = "Recibo de Entrega"
item_db[1075,"name"] = "Recibo de Entrega"
item_db[1076,"name"] = "Recibo de Entrega"
item_db[1077,"name"] = "Recibo de Entrega"
item_db[1078,"name"] = "Recibo de Entrega"
item_db[1079,"name"] = "Recibo de Entrega"
item_db[1080,"name"] = "Recibo de Entrega"
item_db[1081,"name"] = "Caixa de Entrega"
item_db[1082,"name"] = "Caixa de Entrega"
item_db[1083,"name"] = "Caixa de Entrega"
item_db[1084,"name"] = "Bilhete da Kafra"
item_db[1085,"name"] = "Tubo de Ensaio com Líquido Desconhecido"
item_db[1086,"name"] = "Tubo de Ensaio com Líquido Desconhecido"
item_db[1087,"name"] = "Tubo de Ensaio com Líquido Desconhecido"
item_db[1088,"name"] = "Solução de Morroc"
item_db[1089,"name"] = "Solução de Payon"
item_db[1090,"name"] = "Tubo de Ensaio com Líquido Desconhecido"
item_db[1091,"name"] = "Caixa de Entrega"
item_db[1092,"name"] = "Tubo de Ensaio"
item_db[1093,"name"] = "Garrafa de Poção"
item_db[1094,"name"] = "Trança Curta"
item_db[1095,"name"] = "Ponteiro"
item_db[1096,"name"] = "Casca Arredondada"
item_db[1097,"name"] = "Página Deteriorada"
item_db[1098,"name"] = "Algemas"
item_db[1099,"name"] = "Uniforme Velho de Presidiário"
item_db[1101,"name"] = "Espada"
item_db[1102,"name"] = "Espada"
item_db[1103,"name"] = "Espada"
item_db[1104,"name"] = "Alfanje"
item_db[1105,"name"] = "Alfanje"
item_db[1106,"name"] = "Alfanje"
item_db[1107,"name"] = "Lâmina"
item_db[1108,"name"] = "Lâmina"
item_db[1109,"name"] = "Lâmina"
item_db[1110,"name"] = "Florete"
item_db[1111,"name"] = "Florete"
item_db[1112,"name"] = "Florete"
item_db[1113,"name"] = "Cimitarra"
item_db[1114,"name"] = "Cimitarra"
item_db[1115,"name"] = "Cimitarra"
item_db[1116,"name"] = "Kataná"
item_db[1117,"name"] = "Kataná"
item_db[1118,"name"] = "Kataná"
item_db[1119,"name"] = "Tsurugi"
item_db[1120,"name"] = "Tsurugi"
item_db[1121,"name"] = "Tsurugi"
item_db[1122,"name"] = "Sabre de Impacto"
item_db[1123,"name"] = "Haedonggum"
item_db[1124,"name"] = "Espada Orc"
item_db[1125,"name"] = "Sabre de Impacto"
item_db[1126,"name"] = "Sabre"
item_db[1127,"name"] = "Sabre"
item_db[1128,"name"] = "Haedonggum"
item_db[1129,"name"] = "Flamberge"
item_db[1130,"name"] = "Nagan"
item_db[1131,"name"] = "Alfanje de Gelo"
item_db[1132,"name"] = "Lâmina Turca"
item_db[1133,"name"] = "Língua de Fogo"
item_db[1134,"name"] = "Espada de César"
item_db[1135,"name"] = "Cutelo"
item_db[1136,"name"] = "Espada Solar"
item_db[1137,"name"] = "Excalibur"
item_db[1138,"name"] = "Mysteltain"
item_db[1139,"name"] = "Talefing"
item_db[1140,"name"] = "Byeollungum"
item_db[1141,"name"] = "Espada Imaterial"
item_db[1142,"name"] = "Espada Adornada"
item_db[1143,"name"] = "Espada de Gaia"
item_db[1144,"name"] = "Sashimi"
item_db[1145,"name"] = "Vingadora Sagrada"
item_db[1146,"name"] = "Espada Citadina"
item_db[1147,"name"] = "Espada Citadina"
item_db[1148,"name"] = "Lâmina de Poeira Estelar"
item_db[1149,"name"] = "Flamberge"
item_db[1151,"name"] = "Espada Matadora"
item_db[1152,"name"] = "Espada Matadora"
item_db[1153,"name"] = "Espada Matadora"
item_db[1154,"name"] = "Espada Bastarda"
item_db[1155,"name"] = "Espada Bastarda"
item_db[1156,"name"] = "Espada Bastarda"
item_db[1157,"name"] = "Espada de Duas Mãos"
item_db[1158,"name"] = "Espada de Duas Mãos"
item_db[1159,"name"] = "Espada de Duas Mãos"
item_db[1160,"name"] = "Espada Larga"
item_db[1161,"name"] = "Balmung"
item_db[1162,"name"] = "Espada Larga"
item_db[1163,"name"] = "Claymore"
item_db[1164,"name"] = "Muramasa"
item_db[1165,"name"] = "Masamune"
item_db[1166,"name"] = "Caçadora de Dragões"
item_db[1167,"name"] = "Schweizersabel"
item_db[1168,"name"] = "Zweihander"
item_db[1169,"name"] = "Executora"
item_db[1170,"name"] = "Katzbalger"
item_db[1171,"name"] = "Zweihander"
item_db[1172,"name"] = "Claymore"
item_db[1173,"name"] = "Muramasa [A]"
item_db[1175,"name"] = "Zanbatô"
item_db[1176,"name"] = "Dilaceradora"
item_db[1178,"name"] = "Schweizersabel"
item_db[1179,"name"] = "Executora"
item_db[1180,"name"] = "Matadora de Dragões"
item_db[1181,"name"] = "Tae Goo Lyeon"
item_db[1182,"name"] = "Comedor Sangrento"
item_db[1183,"name"] = "Katzbalger de Assalto A"
item_db[1184,"name"] = "Katzbalger de Assalto B"
item_db[1185,"name"] = "Terror Violeta"
item_db[1186,"name"] = "Guia da Morte"
item_db[1187,"name"] = "Claymore Gloriosa"
item_db[1188,"name"] = "Espada Veterana"
item_db[1189,"name"] = "Krasnaya"
item_db[1191,"name"] = "Lâmina Escarlate"
item_db[1192,"name"] = "Espada Valhalla Iniciante"
item_db[1193,"name"] = "Espada Valhalla Intermediária"
item_db[1196,"name"] = "Espada Cromada de duas mãos"
item_db[1197,"name"] = "Espada Matadora III do Éden"
item_db[1198,"name"] = "Arenque"
item_db[1201,"name"] = "Faca"
item_db[1202,"name"] = "Faca"
item_db[1203,"name"] = "Faca"
item_db[1204,"name"] = "Punhal"
item_db[1205,"name"] = "Punhal"
item_db[1206,"name"] = "Punhal"
item_db[1207,"name"] = "Main Gauche"
item_db[1208,"name"] = "Main Gauche"
item_db[1209,"name"] = "Main Gauche"
item_db[1210,"name"] = "Faca Escocesa"
item_db[1211,"name"] = "Punhal"
item_db[1212,"name"] = "Punhal"
item_db[1213,"name"] = "Adaga"
item_db[1214,"name"] = "Adaga"
item_db[1215,"name"] = "Adaga"
item_db[1216,"name"] = "Stiletto"
item_db[1217,"name"] = "Stiletto"
item_db[1218,"name"] = "Stiletto"
item_db[1219,"name"] = "Gladius"
item_db[1220,"name"] = "Gladius"
item_db[1221,"name"] = "Gladius"
item_db[1222,"name"] = "Damascus"
item_db[1223,"name"] = "Adaga da Boa Ventura"
item_db[1224,"name"] = "Destruidor de Espada"
item_db[1225,"name"] = "Destruidor de Malha"
item_db[1226,"name"] = "Damascus"
item_db[1227,"name"] = "Faca de Capina"
item_db[1228,"name"] = "Faca de Combate"
item_db[1229,"name"] = "Faca da Mamãe"
item_db[1230,"name"] = "Rondel"
item_db[1231,"name"] = "Bazerald"
item_db[1232,"name"] = "Adaga do Algoz"
item_db[1233,"name"] = "Adaga Exorcista"
item_db[1234,"name"] = "Walgwanggum"
item_db[1235,"name"] = "Azoth"
item_db[1236,"name"] = "Sucsamad"
item_db[1237,"name"] = "Adaga Sinistra"
item_db[1238,"name"] = "Adaga da Cobiça"
item_db[1239,"name"] = "Adaga Venenosa"
item_db[1240,"name"] = "Adaga Real"
item_db[1241,"name"] = "Adaga Profana"
item_db[1242,"name"] = "Adaga Certeira"
item_db[1243,"name"] = "Adaga do Aprendiz"
item_db[1244,"name"] = "Adaga Sagrada"
item_db[1245,"name"] = "Cinquedea"
item_db[1246,"name"] = "Cinquedea"
item_db[1247,"name"] = "Adaga Incendiária"
item_db[1248,"name"] = "Adaga de Obsidiana"
item_db[1249,"name"] = "Adaga do Pescador"
item_db[1250,"name"] = "Jur"
item_db[1251,"name"] = "Jur"
item_db[1252,"name"] = "Katar"
item_db[1253,"name"] = "Katar"
item_db[1254,"name"] = "Jamadhar"
item_db[1255,"name"] = "Jamadhar"
item_db[1256,"name"] = "Katar Gélida"
item_db[1257,"name"] = "Katar da Espinheira Empoeirada"
item_db[1258,"name"] = "Katar da Chama Impetuosa"
item_db[1259,"name"] = "Katar do Vento Perfurante"
item_db[1260,"name"] = "Osso Afiado de Carniçal"
item_db[1261,"name"] = "Infiltrador"
item_db[1262,"name"] = "Unha de Loki"
item_db[1263,"name"] = "Toque Profano"
item_db[1264,"name"] = "Jur Especial"
item_db[1265,"name"] = "Rugido Sangrento"
item_db[1266,"name"] = "Infiltrador"
item_db[1267,"name"] = "Infiltrador [A]"
item_db[1268,"name"] = "Garra da Fera Selvagem"
item_db[1269,"name"] = "Escama Invertida"
item_db[1270,"name"] = "Katar Perfurante"
item_db[1271,"name"] = "Lágrimas Sangrentas"
item_db[1273,"name"] = "Rugido Sangrento [A]"
item_db[1275,"name"] = "Katar Gélida"
item_db[1276,"name"] = "Katar da Espinheira Empoeirada"
item_db[1277,"name"] = "Katar da Chama Impetuosa"
item_db[1278,"name"] = "Katar do Vento Perfurante"
item_db[1279,"name"] = "Katar da Carnificina A"
item_db[1280,"name"] = "Katar da Carnificina B"
item_db[1281,"name"] = "Rugido Sangrento Glorioso"
item_db[1282,"name"] = "Jamadhar Glorioso"
item_db[1284,"name"] = "Krishna"
item_db[1285,"name"] = "Chakram"
item_db[1287,"name"] = "Durga"
item_db[1289,"name"] = "Katar I do Grupo Éden"
item_db[1290,"name"] = "Katar de Agente"
item_db[1291,"name"] = "Katar do Sicário"
item_db[1292,"name"] = "Katar Aprimorada"
item_db[1293,"name"] = "Jamadhar de Vellum"
item_db[1294,"name"] = "Pavor de Vellum"
item_db[1295,"name"] = "Lágrimas Sangrentas"
item_db[1298,"name"] = "Bat-Katar"
item_db[1299,"name"] = "Katar TE"
item_db[1301,"name"] = "Machado"
item_db[1302,"name"] = "Machado"
item_db[1303,"name"] = "Machado"
item_db[1304,"name"] = "Machado dos Orcs"
item_db[1305,"name"] = "Talhador"
item_db[1306,"name"] = "Machado de Combate"
item_db[1307,"name"] = "Falcão do Vento"
item_db[1308,"name"] = "Machado Dourado"
item_db[1309,"name"] = "Machado dos Orcs"
item_db[1310,"name"] = "Retalhador Glorioso"
item_db[1311,"name"] = "Machado Vecer"
